"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_19415","ASV_19415",0.0495752199305094,0.965691673443237,0.0712316296782024,0.695972002247758,1341.208,0,18851,1,0.001,"1931-1962_1984-2024",19415,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_18755","ASV_18755",0.0388104285256647,0.965691673443237,0.0542861824170249,0.714922781409165,1049.97733333333,0,18035,1,0.001,"1931-1962_1984-2024",18755,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida"
"ASV_13800","ASV_13800",0.0210822059584535,0.965691673443237,0.0289584176474126,0.728016503358123,570.358,0,11949,1,0.001,"1931-1962_1984-2024",13800,"Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_10650","ASV_10650",0.0102685493211109,0.965691673443237,0.00866372173400773,1.18523535685636,277.805333333333,0,8259,1,0.001,"1931-1962_1984-2024",10650,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_19000","ASV_19000",0.00690125920997511,0.965691673443237,0.00992670157566324,0.695221787153807,186.706666666667,0,18322,1,0.001,"1931-1962_1984-2024",19000,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX"
"ASV_12089","ASV_12089",0.00539496316009955,0.965691673443237,0.0037711611899355,1.43058407964573,145.955333333333,0,9940,1,0.042,"1931-1962_1984-2024",12089,"Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA
"ASV_18448","ASV_18448",0.00534438530346714,0.965691673443237,0.00420178345995747,1.27193258634067,149.884,5.297,17653,1,0.014,"1931-1962_1984-2024",18448,"Eukaryota","Obazoa","Opisthokonta","Fungi",NA,NA,NA
"ASV_19002","ASV_19002",0.004206648431532,0.965691673443237,0.00605080063551193,0.695221787153807,113.806666666667,0,18324,1,0.001,"1931-1962_1984-2024",19002,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX"
"ASV_19001","ASV_19001",0.00384310391562554,0.965691673443237,0.00552788187401168,0.695221787153807,103.971333333333,0,18323,1,0.001,"1931-1962_1984-2024",19001,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX"
"ASV_16826","ASV_16826",0.00380365195534856,0.965691673443237,0.00507098269692909,0.750081824899934,102.904,0,15633,1,0.016,"1931-1962_1984-2024",16826,"Eukaryota","Obazoa","Opisthokonta","Fungi",NA,NA,NA
"ASV_19415","ASV_19415",0.0495752199305094,0.91202402602203,0.0731485181436345,0.677733755770191,1341.208,0,18726,1,0.001,"1931-1962_LIA",19415,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_18755","ASV_18755",0.0388017976392893,0.91202402602203,0.0557339721599528,0.696196523153432,1049.97733333333,0.7005,17758,1,0.012,"1931-1962_LIA",18755,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida"
"ASV_12302","ASV_12302",0.0221357347034326,0.91202402602203,0.0191200847845785,1.15772157669962,562.228666666667,318.0405,9055,1,0.048,"1931-1962_LIA",12302,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_13800","ASV_13800",0.021079994332323,0.91202402602203,0.0297342891426788,0.708945629443889,570.358,0.1795,10957,1,0.004,"1931-1962_LIA",13800,"Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_16733","ASV_16733",0.010399472659619,0.91202402602203,0.0149888898296746,0.693812068658377,279.054,6.88,15086,1,0.02,"1931-1962_LIA",16733,"Eukaryota","Obazoa","Opisthokonta","Fungi",NA,NA,NA
"ASV_10650","ASV_10650",0.0102685493211109,0.91202402602203,0.00889686799690608,1.15417575316188,277.805333333333,0,7176,1,0.001,"1931-1962_LIA",10650,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_19000","ASV_19000",0.00690125920997511,0.91202402602203,0.0101938354294883,0.67700320038633,186.706666666667,0,18131,1,0.001,"1931-1962_LIA",19000,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX"
"ASV_16995","ASV_16995",0.0056572287523718,0.91202402602203,0.00835628066328714,0.67700320038633,153.050666666667,0,15450,1,0.049,"1931-1962_LIA",16995,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_10652","ASV_10652",0.00532590374805944,0.91202402602203,0.00536247621131378,0.99317992997765,0,144.087,7178,1,0.005,"1931-1962_LIA",10652,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_18448","ASV_18448",0.00525133067198935,0.91202402602203,0.00430959606068531,1.21852038985628,149.884,7.8145,17384,1,0.014,"1931-1962_LIA",18448,"Eukaryota","Obazoa","Opisthokonta","Fungi",NA,NA,NA
"ASV_18287","ASV_18287",0.027552857248466,0.976050639461817,0.0448102017247462,0.61487911653944,0,745.415,17094,1,0.001,"1984-2024_LIA",18287,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX"
"ASV_18294","ASV_18294",0.0246583314851778,0.976050639461817,0.0418831751127367,0.588740739421143,0,667.1065,17101,1,0.001,"1984-2024_LIA",18294,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX"
"ASV_19023","ASV_19023",0.0112510534486582,0.976050639461817,0.0197356533055954,0.570087712549569,0,304.386,18144,1,0.001,"1984-2024_LIA",19023,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX"
"ASV_10673","ASV_10673",0.00911026095956236,0.976050639461817,0.0154818269611527,0.588448700687716,0,246.469,7159,1,0.001,"1984-2024_LIA",10673,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_19374","ASV_19374",0.0078869039698381,0.976050639461817,0.0137537301394042,0.573437452232849,1.2576,212.7435,18637,1,0.024,"1984-2024_LIA",19374,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_15991","ASV_15991",0.00595212907518297,0.976050639461817,0.00415141481067817,1.43375917527515,28.4652,165.391,13863,1,0.009,"1984-2024_LIA",15991,"Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina",NA
"ASV_18286","ASV_18286",0.00544516522510535,0.976050639461817,0.00952631127966867,0.571592200301765,0,147.3135,17091,1,0.001,"1984-2024_LIA",18286,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX"
"ASV_10652","ASV_10652",0.00532590374805944,0.976050639461817,0.00519958629424297,1.02429375082328,0,144.087,7134,1,0.001,"1984-2024_LIA",10652,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_14443","ASV_14443",0.00519832557108006,0.976050639461817,0.00547598267499233,0.949295474366589,0,140.6355,11771,1,0.001,"1984-2024_LIA",14443,"Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Oxytrichidae"
"ASV_10647","ASV_10647",0.00498020625415835,0.976050639461817,0.00436479627761974,1.14099397483775,6.2306,139.6125,7129,1,0.005,"1984-2024_LIA",10647,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_19415","ASV_19415",0.0495752199305094,0.892369959669139,0.0720647764816932,0.68792581273187,0,1341.208,18727,1,0.001,"LIA-1931_1931-1962",19415,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_18755","ASV_18755",0.0388104285256647,0.892369959669139,0.0549211301159444,0.706657500377938,0,1049.97733333333,17845,1,0.001,"LIA-1931_1931-1962",18755,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida"
"ASV_13800","ASV_13800",0.0210795199724009,0.892369959669139,0.0292930376689027,0.719608536699447,0.218,570.358,11374,1,0.012,"LIA-1931_1931-1962",13800,"Eukaryota",NA,NA,NA,NA,NA,NA
