"pairs","SumOfSqs","F.Model","R2","pval","p.adj"
"control_1984-2024 vs control_LIA-1931",0.0102175742812675,3.45643542569373,0.301702518912808,0.035,0.385
"control_1984-2024 vs latrine_LIA-1931",0.0103377423076649,3.23060779217907,0.287660993239284,0.045,0.405
"control_1984-2024 vs latrine_1984-2024",0.0127502540048121,4.56730622231059,0.31353128386328,0.002,0.03
"control_1984-2024 vs control_1931-1962",0.00673879007491679,2.13534084480686,0.262477121185394,0.14,0.72
"control_1984-2024 vs latrine_1931-1962",0.0045365776945117,1.34315038249879,0.182912008134815,0.323,1
"control_LIA-1931 vs latrine_LIA-1931",0.00795244306914173,3.46644754139385,0.36618251210247,0.026,0.312
"control_LIA-1931 vs latrine_1984-2024",0.00960155431434111,4.77642628084389,0.373846815678446,0.005,0.07
"control_LIA-1931 vs control_1931-1962",0.0014717868714116,0.82914715793548,0.171696394998646,0.6,1
"control_LIA-1931 vs latrine_1931-1962",0.00582175254829289,2.76219902050839,0.408476445625335,0.0666666666666667,0.533333333333333
"latrine_LIA-1931 vs latrine_1984-2024",0.00431427674319335,1.914026432053,0.193062470144801,0.01,0.13
"latrine_LIA-1931 vs control_1931-1962",0.00682976027259031,3.01836843819497,0.430066968523422,0.0666666666666667,0.533333333333333
"latrine_LIA-1931 vs latrine_1931-1962",0.00225814860612472,0.870083930960216,0.178658919085336,0.666666666666667,1
"latrine_1984-2024 vs control_1931-1962",0.00774285450068745,4.08673474322581,0.405159335231894,0.035,0.385
"latrine_1984-2024 vs latrine_1931-1962",0.00367491236213335,1.73643238295512,0.224448724812851,0.12,0.72
"control_1931-1962 vs latrine_1931-1962",0.00509328980116919,2.74066955404348,0.57811866505352,0.333333333333333,1
