"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_10789","ASV_10789",0.077204036371701,0.909624972277667,0.0803710383429841,0.960595233848195,28.796,2117.474,9232,1,0.018,"control_1931-1962_latrine_1931-1962",10789,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_19057","ASV_19057",0.0698782435129741,0.909624972277667,0.0600664469696808,1.16334904157467,9.063,1899.549,18642,1,0.009,"control_1931-1962_latrine_1931-1962",19057,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida"
"ASV_17311","ASV_17311",0.0260732239225253,0.909624972277667,0.0301067657006228,0.866025403784439,0,705.385,16630,1,0.014,"control_1931-1962_latrine_1931-1962",17311,"Eukaryota","Obazoa","Opisthokonta","Fungi",NA,NA,NA
"ASV_19401","ASV_19401",0.0251077105049161,0.909624972277667,0.028991886837497,0.866025403784439,679.264,0,19025,1,0.001,"control_1931-1962_latrine_1931-1962",19401,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_10647","ASV_10647",0.0179283285281289,0.909624972277667,0.00548559648011793,3.26825507364762,9.313,494.346,9085,1,0.011,"control_1931-1962_latrine_1931-1962",10647,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_13123","ASV_13123",0.0170705625785466,0.909624972277667,0.0184513494725956,0.925166075462407,464.91,3.083,11873,1,0.029,"control_1931-1962_latrine_1931-1962",13123,"Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Ochromonadales","Ochromonadaceae"
"ASV_18529","ASV_18529",0.015125341908775,0.909624972277667,0.0174652404452328,0.866025403784439,0,409.201,18013,1,0.016,"control_1931-1962_latrine_1931-1962",18529,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta"
"ASV_4070","ASV_4070",0.0133425001848156,0.909624972277667,0.0154065921467318,0.866025403784439,360.968,0,1960,1,0.005,"control_1931-1962_latrine_1931-1962",4070,"Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_18831","ASV_18831",0.0121221261181341,0.909624972277667,0.013869667681502,0.874002636292531,327.952,2.994,18374,1,0.037,"control_1931-1962_latrine_1931-1962",18831,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida"
"ASV_16178","ASV_16178",0.0106040141938346,0.909624972277667,0.00739888946836626,1.4331899725184,327.292,40.411,15338,1,0.023,"control_1931-1962_latrine_1931-1962",16178,"Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes"
"ASV_19401","ASV_19401",0.0251077105049161,0.894400618516054,0.0262241483466603,0.957427107756338,0,679.264,18981,1,0.001,"control_1984-2024_control_1931-1962",19401,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_13123","ASV_13123",0.016983588378798,0.894400618516054,0.0166308983974938,1.02120691094819,7.141,464.91,11870,1,0.015,"control_1984-2024_control_1931-1962",13123,"Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Ochromonadales","Ochromonadaceae"
"ASV_4070","ASV_4070",0.0133425001848156,0.894400618516054,0.0139357869405669,0.957427107756338,0,360.968,1688,1,0.008,"control_1984-2024_control_1931-1962",4070,"Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_18831","ASV_18831",0.0121221261181341,0.894400618516054,0.0126254271625666,0.960135919525577,0.928,327.952,18310,1,0.02,"control_1984-2024_control_1931-1962",18831,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida"
"ASV_16178","ASV_16178",0.0120642295655602,0.894400618516054,0.00668188977776892,1.80551160926041,0.906333333333333,327.292,15246,1,0.005,"control_1984-2024_control_1931-1962",16178,"Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes"
"ASV_4503","ASV_4503",0.0103848968729208,0.894400618516054,0.0107628435235619,0.964884126595942,2.21533333333333,280.953,2191,1,0.004,"control_1984-2024_control_1931-1962",4503,"Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_15991","ASV_15991",0.00836391414701461,0.894400618516054,0.00833186513334993,1.00384655934196,9.28466666666667,231.607,15038,1,0.028,"control_1984-2024_control_1931-1962",15991,"Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina",NA
"ASV_17541","ASV_17541",0.00560258495354969,0.894400618516054,0.00345795861232296,1.62020011852774,74.2283333333333,200.247,16851,1,0.026,"control_1984-2024_control_1931-1962",17541,"Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Rhogostoma-lineage"
"ASV_19351","ASV_19351",0.00363262364160568,0.894400618516054,0.0037941516509998,0.957427107756338,0,98.277,18930,1,0.001,"control_1984-2024_control_1931-1962",19351,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
"ASV_13188","ASV_13188",0.00344546709051034,0.894400618516054,0.00209559046979318,1.64415096373786,19.9953333333333,113.209,11941,1,0.01,"control_1984-2024_control_1931-1962",13188,"Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Ochromonadales","Ochromonadaceae"
"ASV_18787","ASV_18787",0.134288805105838,0.892877621300609,0.127711777951942,1.05149898669777,3681.14033333333,177.4655,18169,1,0.027,"control_1984-2024_control_LIA-1931",18787,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda"
"ASV_16783","ASV_16783",0.0683833690643404,0.892877621300609,0.0654483790540171,1.04484434989446,1944.654,227.1605,15758,1,0.044,"control_1984-2024_control_LIA-1931",16783,"Eukaryota","TSAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Polyplicariidae"
"ASV_11610","ASV_11610",0.0146905633178088,0.892877621300609,0.0245110815023862,0.599343742395809,23.682,385.5975,9820,1,0.029,"control_1984-2024_control_LIA-1931",11610,"Eukaryota","Obazoa","Opisthokonta",NA,NA,NA,NA
"ASV_10790","ASV_10790",0.01216319213425,0.892877621300609,0.0141485149362318,0.859679774808189,0,329.063,8877,1,0.01,"control_1984-2024_control_LIA-1931",10790,"Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX"
"ASV_18448","ASV_18448",0.0105986299006924,0.892877621300609,0.00972541904928552,1.08978645002151,14.7353333333333,294.103,17789,1,0.001,"control_1984-2024_control_LIA-1931",18448,"Eukaryota","Obazoa","Opisthokonta","Fungi",NA,NA,NA
"ASV_19487","ASV_19487",0.010190433946921,0.892877621300609,0.00955688551007455,1.06629235394508,119.794666666667,261.2945,18993,1,0.025,"control_1984-2024_control_LIA-1931",19487,"Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes"
