"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position"
"ASV_19415","ASV_19415",0.0495752199305094,0.965691673443237,0.0712316296782024,0.695972002247758,1341.208,0,18851,1,0.004,"control_1931-1962_control_1984-2024",19415
"ASV_18755","ASV_18755",0.0388104285256647,0.965691673443237,0.0542861824170249,0.714922781409165,1049.97733333333,0,18035,1,0.001,"control_1931-1962_control_1984-2024",18755
"ASV_13800","ASV_13800",0.0210822059584535,0.965691673443237,0.0289584176474126,0.728016503358123,570.358,0,11949,1,0.001,"control_1931-1962_control_1984-2024",13800
"ASV_12302","ASV_12302",0.0208336660013307,0.965691673443237,0.0254562225687525,0.818411527675124,562.228666666667,31.9688,10197,1,0.019,"control_1931-1962_control_1984-2024",12302
"ASV_19084","ASV_19084",0.011652793179074,0.965691673443237,0.0167612600674955,0.695221787153807,315.254666666667,0,18426,1,0.026,"control_1931-1962_control_1984-2024",19084
"ASV_16733","ASV_16733",0.0103147039254824,0.965691673443237,0.0148365659938681,0.695221787153807,279.054,0,15519,1,0.043,"control_1931-1962_control_1984-2024",16733
"ASV_10650","ASV_10650",0.0102685493211109,0.965691673443237,0.00866372173400773,1.18523535685636,277.805333333333,0,8259,1,0.002,"control_1931-1962_control_1984-2024",10650
"ASV_19000","ASV_19000",0.00690125920997511,0.965691673443237,0.00992670157566324,0.695221787153807,186.706666666667,0,18322,1,0.001,"control_1931-1962_control_1984-2024",19000
"ASV_17541","ASV_17541",0.00582639658953698,0.965691673443237,0.00679689709051091,0.857214183464857,158.953333333333,26.7792,16534,1,0.047,"control_1931-1962_control_1984-2024",17541
"ASV_16995","ASV_16995",0.0056572287523718,0.965691673443237,0.00813730072461067,0.695221787153807,153.050666666667,0,15851,1,0.034,"control_1931-1962_control_1984-2024",16995
"ASV_19415","ASV_19415",0.0495752199305094,0.91202402602203,0.0731485181436345,0.677733755770191,1341.208,0,18726,1,0.003,"control_1931-1962_control_LIA",19415
"ASV_18755","ASV_18755",0.0388017976392893,0.91202402602203,0.0557339721599528,0.696196523153432,1049.97733333333,0.7005,17758,1,0.001,"control_1931-1962_control_LIA",18755
"ASV_12302","ASV_12302",0.0221357347034326,0.91202402602203,0.0191200847845785,1.15772157669962,562.228666666667,318.0405,9055,1,0.009,"control_1931-1962_control_LIA",12302
"ASV_13800","ASV_13800",0.021079994332323,0.91202402602203,0.0297342891426788,0.708945629443889,570.358,0.1795,10957,1,0.002,"control_1931-1962_control_LIA",13800
"ASV_19084","ASV_19084",0.011652793179074,0.91202402602203,0.0172123162378321,0.67700320038633,315.254666666667,0,18244,1,0.011,"control_1931-1962_control_LIA",19084
"ASV_16733","ASV_16733",0.010399472659619,0.91202402602203,0.0149888898296746,0.693812068658377,279.054,6.88,15086,1,0.005,"control_1931-1962_control_LIA",16733
"ASV_10650","ASV_10650",0.0102685493211109,0.91202402602203,0.00889686799690608,1.15417575316188,277.805333333333,0,7176,1,0.001,"control_1931-1962_control_LIA",10650
"ASV_19000","ASV_19000",0.00690125920997511,0.91202402602203,0.0101938354294883,0.67700320038633,186.706666666667,0,18131,1,0.001,"control_1931-1962_control_LIA",19000
"ASV_16995","ASV_16995",0.0056572287523718,0.91202402602203,0.00835628066328714,0.67700320038633,153.050666666667,0,15450,1,0.016,"control_1931-1962_control_LIA",16995
"ASV_10652","ASV_10652",0.00532590374805944,0.91202402602203,0.00536247621131378,0.99317992997765,0,144.087,7178,1,0.005,"control_1931-1962_control_LIA",10652
"ASV_19415","ASV_19415",0.0495752199305094,0.958365284246322,0.0712316296782024,0.695972002247758,1341.208,0,18773,1,0.001,"control_1931-1962_latrine_1984-2024",19415
"ASV_18755","ASV_18755",0.0388104285256647,0.958365284246322,0.0542861824170249,0.714922781409165,1049.97733333333,0,17871,1,0.001,"control_1931-1962_latrine_1984-2024",18755
"ASV_13800","ASV_13800",0.0210822059584535,0.958365284246322,0.0289584176474126,0.728016503358123,570.358,0,11421,1,0.001,"control_1931-1962_latrine_1984-2024",13800
"ASV_12302","ASV_12302",0.0207817205095981,0.958365284246322,0.0262034043985048,0.79309238576587,562.228666666667,0,9561,1,0.015,"control_1931-1962_latrine_1984-2024",12302
"ASV_19084","ASV_19084",0.011652793179074,0.958365284246322,0.0167612600674955,0.695221787153807,315.254666666667,0,18337,1,0.029,"control_1931-1962_latrine_1984-2024",19084
"ASV_16733","ASV_16733",0.0103172050959809,0.958365284246322,0.014829388351366,0.695726947836693,279.054,0.203,15372,1,0.038,"control_1931-1962_latrine_1984-2024",16733
"ASV_10650","ASV_10650",0.0101152977994628,0.958365284246322,0.00832367497543687,1.21524420755412,277.805333333333,12.4382,7638,1,0.002,"control_1931-1962_latrine_1984-2024",10650
"ASV_19000","ASV_19000",0.00690125920997511,0.958365284246322,0.00992670157566324,0.695221787153807,186.706666666667,0,18236,1,0.001,"control_1931-1962_latrine_1984-2024",19000
"ASV_16995","ASV_16995",0.00565901530272788,0.958365284246322,0.00813217765642624,0.695879448508603,153.050666666667,0.145,15683,1,0.031,"control_1931-1962_latrine_1984-2024",16995
"ASV_18448","ASV_18448",0.00549878021734309,0.958365284246322,0.00416619970363881,1.31985516981829,149.884,1.12,17482,1,0.004,"control_1931-1962_latrine_1984-2024",18448
"ASV_19415","ASV_19415",0.0495752199305094,0.943937852689682,0.0731485181436345,0.677733755770191,1341.208,0,18717,1,0.004,"control_1931-1962_latrine_LIA",19415
"ASV_18755","ASV_18755",0.0388104285256647,0.943937852689682,0.0557470581175759,0.696187921590585,1049.97733333333,0,17781,1,0.001,"control_1931-1962_latrine_LIA",18755
"ASV_13169","ASV_13169",0.0250778751139696,0.943937852689682,0.0238113464507359,1.05319013210169,66.5113333333333,731.1315,10349,1,0.012,"control_1931-1962_latrine_LIA",13169
"ASV_13800","ASV_13800",0.0210822059584535,0.943937852689682,0.029737707086897,0.708938516908813,570.358,0,11162,1,0.001,"control_1931-1962_latrine_LIA",13800
"ASV_12302","ASV_12302",0.0207817205095981,0.943937852689682,0.0269085546789836,0.772309057752152,562.228666666667,0,9296,1,0.022,"control_1931-1962_latrine_LIA",12302
"ASV_19084","ASV_19084",0.011652793179074,0.943937852689682,0.0172123162378321,0.67700320038633,315.254666666667,0,18285,1,0.017,"control_1931-1962_latrine_LIA",19084
"ASV_16733","ASV_16733",0.0103202114289939,0.943937852689682,0.0152195865301679,0.678087503135345,279.054,0.447,15254,1,0.022,"control_1931-1962_latrine_LIA",16733
"ASV_10650","ASV_10650",0.0102685493211109,0.943937852689682,0.00889686799690608,1.15417575316188,277.805333333333,0,7401,1,0.001,"control_1931-1962_latrine_LIA",10650
"ASV_17552","ASV_17552",0.00819645893398388,0.943937852689682,0.00892569580699949,0.918299156863072,0,221.747,16272,1,0.009,"control_1931-1962_latrine_LIA",17552
"ASV_19000","ASV_19000",0.00690125920997511,0.943937852689682,0.0101938354294883,0.67700320038633,186.706666666667,0,18173,1,0.001,"control_1931-1962_latrine_LIA",19000
"ASV_18287","ASV_18287",0.027552857248466,0.976050639461817,0.0448102017247462,0.61487911653944,0,745.415,17094,1,0.001,"control_1984-2024_control_LIA",18287
"ASV_18294","ASV_18294",0.0246583314851778,0.976050639461817,0.0418831751127367,0.588740739421143,0,667.1065,17101,1,0.001,"control_1984-2024_control_LIA",18294
"ASV_19023","ASV_19023",0.0112510534486582,0.976050639461817,0.0197356533055954,0.570087712549569,0,304.386,18144,1,0.001,"control_1984-2024_control_LIA",19023
"ASV_10826","ASV_10826",0.00919287351223479,0.976050639461817,0.00820809224134256,1.11997687671346,256.0228,9.1485,7329,1,0.04,"control_1984-2024_control_LIA",10826
"ASV_10673","ASV_10673",0.00911026095956236,0.976050639461817,0.0154818269611527,0.588448700687716,0,246.469,7159,1,0.001,"control_1984-2024_control_LIA",10673
"ASV_12161","ASV_12161",0.0089940119760479,0.976050639461817,0.0093751033313046,0.959350703476069,243.324,0,8848,1,0.027,"control_1984-2024_control_LIA",12161
"ASV_19374","ASV_19374",0.0078869039698381,0.976050639461817,0.0137537301394042,0.573437452232849,1.2576,212.7435,18637,1,0.016,"control_1984-2024_control_LIA",19374
"ASV_12311","ASV_12311",0.00731420122717528,0.976050639461817,0.00900307184478055,0.812411736047138,79.6332,170.6775,9032,1,0.013,"control_1984-2024_control_LIA",12311
"ASV_15991","ASV_15991",0.00595212907518297,0.976050639461817,0.00415141481067817,1.43375917527515,28.4652,165.391,13863,1,0.001,"control_1984-2024_control_LIA",15991
"ASV_18286","ASV_18286",0.00544516522510535,0.976050639461817,0.00952631127966867,0.571592200301765,0,147.3135,17091,1,0.001,"control_1984-2024_control_LIA",18286
"ASV_17512","ASV_17512",0.0667651038663414,0.965829344274414,0.0710456705305844,0.939749084887583,1843.1486,64.629,16361,1,0.001,"control_1984-2024_latrine_1984-2024",17512
"ASV_14446","ASV_14446",0.0362369705034376,0.965829344274414,0.0574797937900469,0.630429723457225,0,980.355,12519,1,0.001,"control_1984-2024_latrine_1984-2024",14446
"ASV_18754","ASV_18754",0.0226220521919125,0.965829344274414,0.0435232459570081,0.519769417342134,57.5602,619.2766,17983,1,0.038,"control_1984-2024_latrine_1984-2024",18754
"ASV_14196","ASV_14196",0.0225527093960228,0.965829344274414,0.0248824140149506,0.906371438979835,0,610.141,12177,1,0.001,"control_1984-2024_latrine_1984-2024",14196
"ASV_17700","ASV_17700",0.0203553249057441,0.965829344274414,0.0292802344341333,0.695189956608234,578.4574,41.9906,16614,1,0.001,"control_1984-2024_latrine_1984-2024",17700
"ASV_17380","ASV_17380",0.0189594145043247,0.965829344274414,0.0366216650305852,0.517710335903362,512.928,0,16167,1,0.01,"control_1984-2024_latrine_1984-2024",17380
"ASV_13117","ASV_13117",0.0187768241295187,0.965829344274414,0.0318521359618301,0.589499685422035,0,507.9882,10812,1,0.006,"control_1984-2024_latrine_1984-2024",13117
"ASV_17624","ASV_17624",0.0181329917941894,0.965829344274414,0.021868145191001,0.829196607019573,334.655,279.9876,16505,1,0.041,"control_1984-2024_latrine_1984-2024",17624
"ASV_18834","ASV_18834",0.0163201833370296,0.965829344274414,0.0194108757931759,0.840775218538423,441.6478,0.2026,18091,1,0.001,"control_1984-2024_latrine_1984-2024",18834
"ASV_14421","ASV_14421",0.011011288534043,0.965829344274414,0.020797807186713,0.529444687855254,0,297.8994,12488,1,0.005,"control_1984-2024_latrine_1984-2024",14421
"ASV_13169","ASV_13169",0.0269511236785688,0.967715864567162,0.0236264980602613,1.14071597110277,1.9958,731.1315,10509,1,0.003,"control_1984-2024_latrine_LIA",13169
"ASV_17750","ASV_17750",0.0267363421305537,0.967715864567162,0.046898646545077,0.570087712549569,0,723.325,16531,1,0.001,"control_1984-2024_latrine_LIA",17750
"ASV_18402","ASV_18402",0.0118242995490501,0.967715864567162,0.0154084546185237,0.767390360798099,5.9764,323.649,17347,1,0.003,"control_1984-2024_latrine_LIA",18402
"ASV_12161","ASV_12161",0.0089940119760479,0.967715864567162,0.0093751033313046,0.959350703476069,243.324,0,9296,1,0.024,"control_1984-2024_latrine_LIA",12161
"ASV_17552","ASV_17552",0.00819645893398388,0.967715864567162,0.0086545699702575,0.947067152054004,0,221.747,16265,1,0.004,"control_1984-2024_latrine_LIA",17552
"ASV_19558","ASV_19558",0.00440729651807496,0.967715864567162,0.00773090950928318,0.570087712549569,0,119.235,18937,1,0.046,"control_1984-2024_latrine_LIA",19558
"ASV_18900","ASV_18900",0.00401532120943299,0.967715864567162,0.00589245136755613,0.681434764407453,0,108.6305,18072,1,0.007,"control_1984-2024_latrine_LIA",18900
"ASV_13168","ASV_13168",0.00359349818880757,0.967715864567162,0.00469205603642896,0.765868557601993,0,97.2185,10508,1,0.031,"control_1984-2024_latrine_LIA",13168
"ASV_16317","ASV_16317",0.0034016226805648,0.967715864567162,0.00596684090129206,0.570087712549569,0,92.0275,14678,1,0.001,"control_1984-2024_latrine_LIA",16317
