"pairs","SumOfSqs","F.Model","R2","pval","p.adj"
"latrine_1931-1962 vs control_LIA-1931",0.00597464132258601,2.52820863624868,0.265339344756839,0.012,0.204
"latrine_1931-1962 vs latrine_LIA-1931",0.00367774572518216,1.39417109300909,0.166088000537683,0.097,0.582
"latrine_1931-1962 vs control_1931-1962",0.00575674055829087,2.19640749877346,0.354464663469635,0.1,0.582
"latrine_1931-1962 vs control_1984-2024",0.0136738197717163,5.43417015307257,0.330662887292583,0.006,0.108
"latrine_1931-1962 vs latrine_1984-2024",0.00286172823657951,1.15595653325078,0.0950938356918962,0.269,0.669
"latrine_1931-1962 vs control_LIA",0.0068662540418605,2.91879281761395,0.368590627995925,0.031,0.31
"latrine_1931-1962 vs latrine_LIA",0.003522412468952,1.64152389048112,0.247160729608127,0.06,0.42
"control_LIA-1931 vs latrine_LIA-1931",0.00757660091681545,3.13994105529277,0.238961578448482,0.001,0.028
"control_LIA-1931 vs control_1931-1962",0.00273252388182271,1.18451754325393,0.144726617909233,0.223,0.669
"control_LIA-1931 vs control_1984-2024",0.00854947332364857,3.58972965734712,0.204081002225507,0.001,0.028
"control_LIA-1931 vs latrine_1984-2024",0.00945978517886401,4.02591199284312,0.223340266747199,0.001,0.028
"control_LIA-1931 vs control_LIA",0.00449361152770011,2.06291116180452,0.205001428377371,0.016,0.24
"control_LIA-1931 vs latrine_LIA",0.00349926683947172,1.70766354512882,0.175908810311592,0.032,0.31
"latrine_LIA-1931 vs control_1931-1962",0.00631036011014242,2.44434185737587,0.258815478546754,0.013,0.208
"latrine_LIA-1931 vs control_1984-2024",0.0178670995937525,7.09286421347142,0.336268424320553,0.001,0.028
"latrine_LIA-1931 vs latrine_1984-2024",0.00428131537385564,1.72140781317128,0.109494507974604,0.018,0.24
"latrine_LIA-1931 vs control_LIA",0.00821583186767753,3.39680336382623,0.298048782223248,0.005,0.1
"latrine_LIA-1931 vs latrine_LIA",0.00324573581614039,1.41762216035325,0.150528672335276,0.099,0.582
"control_1931-1962 vs control_1984-2024",0.00543655045656599,2.19178342432364,0.166147620365138,0.017,0.24
"control_1931-1962 vs latrine_1984-2024",0.00722953414478277,2.9631747965809,0.212213543105289,0.005,0.1
"control_1931-1962 vs control_LIA",0.00266632022510933,1.17274379492652,0.189987440575521,0.342,0.669
"control_1931-1962 vs latrine_LIA",0.00384256504745068,1.8590386173279,0.271034866698583,0.026,0.286
"control_1984-2024 vs latrine_1984-2024",0.0222152433489208,9.08129752924731,0.335334653719589,0.001,0.028
"control_1984-2024 vs control_LIA",0.00996996815717099,4.18863965744411,0.258739446060746,0.002,0.046
"control_1984-2024 vs latrine_LIA",0.0104504112196737,4.55523869087118,0.275153912059451,0.004,0.084
"latrine_1984-2024 vs control_LIA",0.0093931288240627,4.00902455201927,0.250422787409218,0.002,0.046
"latrine_1984-2024 vs latrine_LIA",0.00448629437320489,1.98780539184722,0.142109883299192,0.017,0.24
"control_LIA vs latrine_LIA",0.00453370298087643,2.34238482438897,0.280781200303899,0.036,0.31
